Produto;Data;Quantidade;Valor Total;Categoria
Array® Memo Cubes;10/11/2011;25;122,09;Office Supplies
Eldon Jumbo ProFile Portable File Boxes Graphite/Black;10/11/2011;37;608,33;Office Supplies
Microsoft Office Keyboard;10/11/2011;27;1154,89;Technology
Portfile® Personal File Boxes;10/11/2011;40;679,52;Office Supplies
KI Conference Tables;11/11/2011;47;3587,72;Furniture
Bevis Round Conference Table Top, X-Base;11/11/2011;10;1875,18;Furniture
Xerox 1937;11/11/2011;13;646,55;Office Supplies
Xerox 1928;12/11/2011;21;109,29;Office Supplies
Canon P1-DHIII Palm Printing Calculator;12/11/2011;9;181,66;Technology
DS/HD IBM Formatted Diskettes, 200/Pack - Staples;12/11/2011;38;1806,43;Technology
Avery 51;12/11/2011;28;175,76;Office Supplies
Accessory4;12/11/2011;25;1733,36;Technology
Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;12/11/2011;38;2257,88;Office Supplies
SAFCO Folding Chair Trolley;12/11/2011;46;5979,84;Furniture
Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting;12/11/2011;44;3922,42;Furniture
600 Series Non-Flip;13/11/2011;11;404,15;Technology
Bretford CR8500 Series Meeting Room Furniture;13/11/2011;47;14960,1;Furniture
Newell 326;13/11/2011;28;49,49;Office Supplies
Eldon Expressions Mahogany Wood Desk Collection;14/11/2011;17;104,94;Furniture
Sterling Rubber Bands by Alliance;14/11/2011;31;142,97;Office Supplies
Epson FX-980 Dot Matrix Printer;15/11/2011;29;11039,75;Technology
Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base;15/11/2011;30;4982,94;Furniture
Staples® General Use 3-Ring Binders;15/11/2011;39;71,04;Office Supplies
Belkin 107-key enhanced keyboard, USB/PS/2 interface;15/11/2011;40;718,6;Technology
Hewlett Packard LaserJet 3310 Copier;16/11/2011;17;10134,55;Technology
Dana Halogen Swing-Arm Architect Lamp;16/11/2011;46;1765,64;Furniture
Xerox 1949;16/11/2011;42;199,24;Office Supplies
12-1/2 Diameter Round Wall Clock;16/11/2011;41;844,09;Furniture
M70;16/11/2011;48;5139,88;Technology
T65;16/11/2011;3;504,67;Technology
80 Minute CD-R Spindle, 100/Pack - Staples;16/11/2011;32;1311,25;Technology
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);16/11/2011;48;257,75;Office Supplies
Xerox 2;16/11/2011;23;156,5;Office Supplies
Prang Dustless Chalk Sticks;16/11/2011;24;39,69;Office Supplies
Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled;16/11/2011;5;544,41;Furniture
V70;16/11/2011;8;1383,92;Technology
Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;17/11/2011;38;202,42;Office Supplies
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;17/11/2011;3;3581,52;Office Supplies
Self-Adhesive Address Labels for Typewriters by Universal;17/11/2011;13;90,15;Office Supplies
8890;17/11/2011;26;2379,33;Technology
Bretford CR4500 Series Slim Rectangular Table;18/11/2011;27;9541,04;Furniture
Xerox 227;18/11/2011;28;195,11;Office Supplies
Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad;18/11/2011;29;1617,88;Technology
Micro Innovations 104 Keyboard;18/11/2011;19;195,96;Technology
Xerox 197;18/11/2011;19;614,91;Office Supplies
Nu-Dell Executive Frame;18/11/2011;48;620,23;Furniture
Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel;18/11/2011;18;416,39;Technology
"Staples 10"" Round Wall Clock";18/11/2011;42;401,37;Furniture
Master Giant Foot® Doorstop, Safety Yellow;18/11/2011;30;217,42;Furniture
DPC 650 Piper;18/11/2011;29;2738,78;Technology
Imation 3.5 IBM Formatted Diskettes, 10/Box;18/11/2011;20;157,13;Technology
Microsoft Internet Keyboard;18/11/2011;32;671,75;Technology
Staples® General Use 3-Ring Binders;19/11/2011;1;3,2;Office Supplies
12-1/2 Diameter Round Wall Clock;19/11/2011;22;440,92;Furniture
Sanford 52201 APSCO Electric Pencil Sharpener;19/11/2011;49;1889,04;Office Supplies
Panasonic KX-P1150 Dot Matrix Printer;19/11/2011;8;1100,0;Technology
Xerox 190;19/11/2011;31;164,92;Office Supplies
US Robotics 56K V.92 Internal PCI Faxmodem;19/11/2011;50;2337,03;Technology
Imation 3.5 IBM Formatted Diskettes, 10/Box;19/11/2011;1;10,62;Technology
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge;19/11/2011;21;1503,49;Office Supplies
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";19/11/2011;12;1323,67;Furniture
1726 Digital Answering Machine;19/11/2011;30;554,43;Technology
TOPS Money Receipt Book, Consecutively Numbered in Red,;19/11/2011;39;301,36;Office Supplies
Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;19/11/2011;34;29345,27;Furniture
Xerox 1993;19/11/2011;17;114,94;Office Supplies
Xerox 217;19/11/2011;14;94,32;Office Supplies
Canon PC-428 Personal Copier;19/11/2011;40;7813,7;Technology
Okidata ML184 Turbo Dot Matrix Printers;19/11/2011;48;15602,93;Technology
Xerox 226;19/11/2011;17;114,28;Office Supplies
"Howard Miller 13"" Diameter Goldtone Round Wall Clock";20/11/2011;41;1901,29;Furniture
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";20/11/2011;19;305,68;Office Supplies
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";21/11/2011;33;125,27;Office Supplies
Keytronic 105-Key Spanish Keyboard;21/11/2011;15;1121,84;Technology
Surelock Post Binders;21/11/2011;6;176,58;Office Supplies
Eldon® Wave Desk Accessories;21/11/2011;40;102,15;Furniture
Sauder Camden County Collection Libraries, Planked Cherry Finish;22/11/2011;45;5181,08;Furniture
Brother DCP1000 Digital 3 in 1 Multifunction Machine;22/11/2011;38;10567,45;Technology
Avery 487;22/11/2011;41;159,26;Office Supplies
Angle-D Binders with Locking Rings, Label Holders;22/11/2011;38;273,89;Office Supplies
Polycom Soundstation EX Audio-Conferencing Telephone, Black;22/11/2011;2;2055,97;Technology
Avery Self-Adhesive Photo Pockets for Polaroid Photos;22/11/2011;15;107,63;Office Supplies
Dixon Ticonderoga Core-Lock Colored Pencils;22/11/2011;21;203,55;Office Supplies
Dana Halogen Swing-Arm Architect Lamp;22/11/2011;38;1679,04;Furniture
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case";23/11/2011;2;68,66;Office Supplies
Belkin F5C206VTEL 6 Outlet Surge;24/11/2011;49;1147,64;Office Supplies
Logitech Cordless Access Keyboard;24/11/2011;14;436,78;Technology
Xerox 1977;25/11/2011;23;156,66;Office Supplies
Fellowes PB300 Plastic Comb Binding Machine;25/11/2011;49;19325,2;Office Supplies
Newell 310;25/11/2011;24;40,24;Office Supplies
Rush Hierlooms Collection Rich Wood Bookcases;25/11/2011;48;8380,22;Furniture
Okidata ML390 Turbo Dot Matrix Printers;26/11/2011;13;4393,75;Technology
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";26/11/2011;28;431,37;Office Supplies
#10 Self-Seal White Envelopes;26/11/2011;23;262,31;Office Supplies
O'Sullivan Manor Hill 2-Door Library in Brianna Oak;26/11/2011;9;1696,7;Furniture
Euro Pro Shark Stick Mini Vacuum;26/11/2011;26;1580,57;Office Supplies
Storex DuraTech Recycled Plastic Frosted Binders;26/11/2011;16;76,6;Office Supplies
Advantus SlideClip Paper Clips;26/11/2011;16;54,32;Office Supplies
Xerox 188;26/11/2011;45;514,03;Office Supplies
Staples Plastic Wall Frames;27/11/2011;1;12,74;Furniture
GBC Standard Plastic Binding Systems Combs;27/11/2011;14;136,85;Office Supplies
Xerox 1968;27/11/2011;12;88,57;Office Supplies
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book";27/11/2011;34;320,04;Office Supplies
Xerox 1978;27/11/2011;13;73,97;Office Supplies
Polycom ViewStation ISDN Videoconferencing Unit;27/11/2011;3;21366,51;Technology
Newell 314;28/11/2011;48;254,51;Office Supplies
Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;28/11/2011;4;52,43;Furniture
Tennsco Regal Shelving Units;28/11/2011;4;431,11;Office Supplies
Eldon Wave Desk Accessories;28/11/2011;23;138,71;Furniture
Xerox 1891;28/11/2011;1;54,22;Office Supplies
Newell 323;29/11/2011;25;41,87;Office Supplies
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock";29/11/2011;13;246,06;Furniture
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";29/11/2011;9;75,94;Office Supplies
GBC DocuBind 200 Manual Binding Machine;29/11/2011;24;10094,43;Office Supplies
Belkin MediaBoard 104- Keyboard;29/11/2011;25;667,64;Technology
"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""";30/11/2011;44;155,78;Office Supplies
Newell 31;30/11/2011;6;24,2;Office Supplies
Accessory9;30/11/2011;17;524,21;Technology
Satellite Sectional Post Binders;30/11/2011;40;1765,05;Office Supplies
80 Minute Slim Jewel Case CD-R , 10/Pack - Staples;01/12/2011;33;271,14;Technology
Laser & Ink Jet Business Envelopes;01/12/2011;50;531,48;Office Supplies
Xerox 1891;01/12/2011;26;1150,3;Office Supplies
Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum;01/12/2011;29;3524,55;Furniture
Heavy-Duty E-Z-D® Binders;01/12/2011;1;13,96;Office Supplies
"Executive Impressions 14"" Contract Wall Clock";01/12/2011;42;890,61;Furniture
Sanford Liquid Accent Highlighters;01/12/2011;10;64,19;Office Supplies
GBC White Gloss Covers, Plain Front;02/12/2011;31;472,35;Office Supplies
Eldon Expressions Mahogany Wood Desk Collection;02/12/2011;42;267,06;Furniture
Xerox 1893;02/12/2011;11;449,79;Office Supplies
Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish;02/12/2011;19;6648,58;Office Supplies
Accessory41;02/12/2011;31;953,05;Technology
Canon P1-DHIII Palm Printing Calculator;02/12/2011;25;450,28;Technology
8260;03/12/2011;11;617,22;Technology
Round Ring Binders;03/12/2011;7;15,61;Office Supplies
252;03/12/2011;34;1947,43;Technology
Hoover Portapower Portable Vacuum;03/12/2011;17;126,57;Office Supplies
"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""";03/12/2011;18;47,11;Office Supplies
Boston 1799 Powerhouse Electric Pencil Sharpener;04/12/2011;40;1038,19;Office Supplies
Avery Legal 4-Ring Binder;04/12/2011;34;670,02;Office Supplies
Memorex Slim 80 Minute CD-R, 10/Pack;04/12/2011;5;54,8;Technology
V70;04/12/2011;37;6072,19;Technology
Memorex 4.7GB DVD+RW, 3/Pack;04/12/2011;44;1127,81;Technology
GBC Linen Binding Covers;05/12/2011;47;1413,82;Office Supplies
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes";05/12/2011;7;56,9;Office Supplies
Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad;05/12/2011;26;118,43;Office Supplies
Rediform S.O.S. Phone Message Books;05/12/2011;13;66,83;Office Supplies
Xerox 210;05/12/2011;45;308,92;Office Supplies
SC7868i;06/12/2011;31;3448,65;Technology
Fellowes Basic 104-Key Keyboard, Platinum;06/12/2011;29;598,49;Technology
Safco Industrial Wire Shelving;06/12/2011;18;1733,1;Office Supplies
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;06/12/2011;19;251,45;Furniture
Global Airflow Leather Mesh Back Chair, Black;07/12/2011;17;2573,92;Furniture
Luxo Economy Swing Arm Lamp;07/12/2011;41;782,05;Furniture
Canon P1-DHIII Palm Printing Calculator;07/12/2011;40;727,64;Technology
GBC Standard Therm-A-Bind Covers;07/12/2011;1;36,4;Office Supplies
A1228;07/12/2011;16;2795,0;Technology
Timeport L7089;07/12/2011;25;2564,58;Technology
Holmes Odor Grabber;07/12/2011;24;382,19;Office Supplies
Panasonic KX-P3626 Dot Matrix Printer;07/12/2011;39;19539,94;Technology
Rediform S.O.S. Phone Message Books;07/12/2011;36;176,35;Office Supplies
GBC DocuBind 200 Manual Binding Machine;07/12/2011;19;7608,88;Office Supplies
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;07/12/2011;25;1412,98;Office Supplies
GBC VeloBinder Strips;07/12/2011;45;341,39;Office Supplies
DAX Natural Wood-Tone Poster Frame;07/12/2011;50;1270,03;Furniture
6000;08/12/2011;38;1978,43;Technology
"Executive Impressions 14"" Two-Color Numerals Wall Clock";08/12/2011;8;194,11;Furniture
AT&T Black Trimline Phone, Model 210;08/12/2011;11;183,32;Technology
Avery 508;08/12/2011;4;18,46;Office Supplies
GBC Linen Binding Covers;08/12/2011;23;750,39;Office Supplies
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;08/12/2011;28;1717,88;Office Supplies
Staples SlimLine Pencil Sharpener;09/12/2011;28;350,42;Office Supplies
Belkin F9M820V08 8 Outlet Surge;09/12/2011;4;170,45;Office Supplies
Accessory41;09/12/2011;42;1274,52;Technology
Flat Face Poster Frame;09/12/2011;37;686,2;Furniture
Xerox 213;09/12/2011;50;330,27;Office Supplies
Imation Neon Mac Format Diskettes, 10/Pack;09/12/2011;36;268,55;Technology
O'Sullivan 3-Shelf Heavy-Duty Bookcases;10/12/2011;15;951,09;Furniture
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;10/12/2011;23;8225,24;Furniture
Hon iLevel Computer Training Table;10/12/2011;45;1212,93;Furniture
Logitech Access Keyboard;10/12/2011;4;68,16;Technology
Xerox 1983;10/12/2011;31;187,13;Office Supplies
Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum;10/12/2011;45;5921,74;Furniture
Xerox 1977;10/12/2011;6;48,05;Office Supplies
Hoover Portapower Portable Vacuum;10/12/2011;20;140,37;Office Supplies
Holmes HEPA Air Purifier;10/12/2011;14;294,52;Office Supplies
Hon Multipurpose Stacking Arm Chairs;10/12/2011;32;7341,96;Furniture
Eldon® 300 Class Desk Accessories, Black;11/12/2011;28;146,69;Furniture
Gyration Ultra Professional Cordless Optical Suite;11/12/2011;43;12858,88;Technology
Xerox 1894;11/12/2011;36;236,89;Office Supplies
Belkin 6 Outlet Metallic Surge Strip;11/12/2011;25;268,58;Office Supplies
"Dana Fluorescent Magnifying Lamp, White, 36""";11/12/2011;26;1280,65;Furniture
Hon Olson Stacker Stools;11/12/2011;38;5526,16;Furniture
Kleencut® Forged Office Shears by Acme United Corporation;11/12/2011;33;68,42;Office Supplies
Tenex Personal Self-Stacking Standard File Box, Black/Gray;12/12/2011;22;364,69;Office Supplies
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack";12/12/2011;16;86,3;Technology
Advantus Panel Wall Acrylic Frame;13/12/2011;4;25,17;Furniture
Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;13/12/2011;13;11764,25;Furniture
Xerox 1984;13/12/2011;29;208,47;Office Supplies
Wilson Jones® Four-Pocket Poly Binders;14/12/2011;2;19,0;Office Supplies
Sauder Camden County Collection Libraries, Planked Cherry Finish;14/12/2011;34;3577,11;Furniture
Dual Level, Single-Width Filing Carts;14/12/2011;50;8289,51;Office Supplies
Xerox 1963;15/12/2011;39;231,21;Office Supplies
Bevis Steel Folding Chairs;15/12/2011;21;2039,33;Furniture
GBC Plastic Binding Combs;16/12/2011;42;312,05;Office Supplies
"Acme® 8"" Straight Scissors";16/12/2011;50;600,22;Office Supplies
Ampad #10 Peel & Seel® Holiday Envelopes;16/12/2011;22;96,07;Office Supplies
Hon iLevel Computer Training Table;16/12/2011;34;1069,85;Furniture
XtraLife® ClearVue Slant-D® Ring Binders by Cardinal;16/12/2011;49;371,95;Office Supplies
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";16/12/2011;38;5228,2;Office Supplies
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;16/12/2011;31;1359,74;Office Supplies
R380;16/12/2011;41;7174,94;Technology
Avery 493;17/12/2011;35;173,22;Office Supplies
Fiskars® Softgrip Scissors;17/12/2011;42;452,15;Office Supplies
GBC Plastic Binding Combs;17/12/2011;44;346,2;Office Supplies
Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;17/12/2011;12;5744,24;Technology
Cardinal Holdit Business Card Pockets;17/12/2011;27;137,5;Office Supplies
DAX Metal Frame, Desktop, Stepped-Edge;17/12/2011;4;85,96;Furniture
Eldon Simplefile® Box Office®;17/12/2011;39;475,52;Office Supplies
StarTAC Series;17/12/2011;7;405,34;Technology
Newell 312;17/12/2011;28;169,46;Office Supplies
Iceberg Mobile Mega Data/Printer Cart ®;17/12/2011;34;4152,12;Office Supplies
Fellowes Twister Kit, Gray/Clear, 3/pkg;17/12/2011;26;213,49;Office Supplies
Xerox 1922;17/12/2011;4;28,34;Office Supplies
Eldon Radial Chair Mat for Low to Medium Pile Carpets;17/12/2011;33;1283,68;Furniture
Global Deluxe Stacking Chair, Gray;18/12/2011;36;1773,86;Furniture
Xerox 1885;18/12/2011;20;941,13;Office Supplies
GBC Plastic Binding Combs;18/12/2011;40;315,45;Office Supplies
"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""";18/12/2011;1;10,59;Office Supplies
"""While you Were Out"" Message Book, One Form per Page";18/12/2011;16;60,02;Office Supplies
DAX Clear Channel Poster Frame;18/12/2011;35;543,22;Furniture
"Iceberg OfficeWorks 42"" Round Tables";18/12/2011;49;7413,29;Furniture
R289LX;18/12/2011;48;3713,01;Technology
Tenex B1-RE Series Chair Mats for Low Pile Carpets;18/12/2011;18;813,9;Furniture
"Wirebound Service Call Books, 5 1/2"" x 4""";18/12/2011;6;54,3;Office Supplies
TOPS Voice Message Log Book, Flash Format;18/12/2011;15;76,42;Office Supplies
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book";18/12/2011;14;138,95;Office Supplies
"Wilson Jones Hanging View Binder, White, 1""";18/12/2011;21;162,25;Office Supplies
R280;18/12/2011;42;5678,55;Technology
Soundgear TeleForum DX Desktop Conference Phone;19/12/2011;31;2893,31;Technology
Hon Non-Folding Utility Tables;19/12/2011;25;3923,27;Furniture
KI Conference Tables;19/12/2011;37;2638,79;Furniture
Boston 1730 StandUp Electric Pencil Sharpener;19/12/2011;10;211,97;Office Supplies
Unpadded Memo Slips;20/12/2011;41;160,11;Office Supplies
Avery 516;20/12/2011;10;70,02;Office Supplies
Staples Copy Paper (20Lb. and 84 Bright);20/12/2011;5;28,23;Office Supplies
Adesso Programmable 142-Key Keyboard;20/12/2011;27;3853,47;Technology
Xerox 227;20/12/2011;42;278,01;Office Supplies
White GlueTop Scratch Pads;20/12/2011;47;725,8;Office Supplies
Anderson Hickey Conga Table Tops & Accessories;20/12/2011;35;539,21;Furniture
Xerox 1920;20/12/2011;41;248,86;Office Supplies
Accessory4;20/12/2011;36;2544,98;Technology
Prang Drawing Pencil Set;21/12/2011;38;115,43;Office Supplies
Staples #10 Colored Envelopes;21/12/2011;28;229,43;Office Supplies
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases;21/12/2011;49;26622,55;Furniture
Boston Electric Pencil Sharpener, Model 1818, Charcoal Black;21/12/2011;46;1200,13;Office Supplies
Holmes HEPA Air Purifier;21/12/2011;14;304,52;Office Supplies
Space Solutions Commercial Steel Shelving;21/12/2011;29;1756,11;Office Supplies
Ibico Presentation Index for Binding Systems;22/12/2011;17;72,75;Office Supplies
Boston Model 1800 Electric Pencil Sharpener, Gray;22/12/2011;3;92,31;Office Supplies
Newell 318;22/12/2011;42;116,94;Office Supplies
Bevis Round Conference Table Top, X-Base;22/12/2011;48;6746,31;Furniture
Peel & Seel® Recycled Catalog Envelopes, Brown;22/12/2011;26;311,38;Office Supplies
"Seth Thomas 8 1/2"" Cubicle Clock";24/12/2011;18;389,52;Furniture
Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry;24/12/2011;50;510,56;Furniture
Canon BP1200DH 12-Digit Bubble Jet Printing Calculator;24/12/2011;25;3019,41;Technology
Jet-Pak Recycled Peel 'N' Seal Padded Mailers;24/12/2011;20;761,23;Office Supplies
Avery Reinforcements for Hole-Punch Pages;24/12/2011;12;28,41;Office Supplies
Companion Letter/Legal File, Black;24/12/2011;8;317,82;Office Supplies
GBC DocuBind 200 Manual Binding Machine;24/12/2011;9;3800,4;Office Supplies
Riverside Furniture Stanwyck Manor Table Series;25/12/2011;15;3364,25;Furniture
Avery 501;25/12/2011;41;170,82;Office Supplies
Smead Adjustable Mobile File Trolley with Lockable Top;25/12/2011;4;1609,69;Office Supplies
Post-it® Important Message Note Pad, Neon Colors, 50 Sheets/Pad;25/12/2011;26;188,93;Office Supplies
Avery 510;25/12/2011;33;117,77;Office Supplies
Sauder Forest Hills Library, Woodland Oak Finish;25/12/2011;10;1410,93;Furniture
Hon Valutask Swivel Chairs;25/12/2011;45;4768,59;Furniture
2180;26/12/2011;3;448,37;Technology
Staples Bulk Pack Metal Binder Clips;26/12/2011;42;234,2;Office Supplies
Sanford 52201 APSCO Electric Pencil Sharpener;27/12/2011;49;2072,12;Office Supplies
Sterling Rubber Bands by Alliance;27/12/2011;33;151,19;Office Supplies
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case";28/12/2011;32;980,07;Office Supplies
Bevis Round Conference Table Top, X-Base;29/12/2011;20;3467,28;Furniture
Accessory34;29/12/2011;48;3410,16;Technology
Avery 501;29/12/2011;49;183,08;Office Supplies
Master Caster Door Stop, Gray;29/12/2011;32;166,17;Furniture
Newell 339;29/12/2011;14;36,74;Office Supplies
Xerox 21;29/12/2011;8;57,22;Office Supplies
*Staples* Highlighting Markers;29/12/2011;33;162,0;Office Supplies
Premier Elliptical Ring Binder, Black;30/12/2011;29;852,75;Office Supplies
Micro Innovations Micro 3000 Keyboard, Black;30/12/2011;48;1269,79;Technology
Xerox 1963;30/12/2011;29;155,86;Office Supplies
Imation 3.5 IBM Formatted Diskettes, 10/Box;30/12/2011;44;362,75;Technology
Xerox 1922;30/12/2011;39;209,33;Office Supplies
Advantus Push Pins, Aluminum Head;30/12/2011;40;239,86;Office Supplies
80 Minute Slim Jewel Case CD-R , 10/Pack - Staples;30/12/2011;36;282,58;Technology
Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus;30/12/2011;18;835,55;Technology
Global Leather and Oak Executive Chair, Black;30/12/2011;23;6641,14;Furniture
Xerox 1994;30/12/2011;26;172,33;Office Supplies
Global Troy Executive Leather Low-Back Tilter;30/12/2011;21;10469,03;Furniture
Accessory35;31/12/2011;2;60,56;Technology
Bell Sonecor JB700 Caller ID;31/12/2011;8;61,87;Technology
Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set;31/12/2011;6;241,85;Office Supplies
Panasonic KX-P1131 Dot Matrix Printer;31/12/2011;45;11532,99;Technology
"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages";31/12/2011;18;146,1;Office Supplies
Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit;31/12/2011;24;1339,25;Office Supplies
Unpadded Memo Slips;01/01/2012;50;187,88;Office Supplies
Zoom V.92 USB External Faxmodem;01/01/2012;45;2354,8;Technology
Canon PC-428 Personal Copier;02/01/2012;38;7325,63;Technology
Prismacolor Color Pencil Set;02/01/2012;10;192,58;Office Supplies
Sterilite Officeware Hinged File Box;02/01/2012;27;279,4;Office Supplies
600 Series Flip;03/01/2012;14;1170,03;Technology
Polycom ViewStation Adapter H323 Videoconferencing Unit;03/01/2012;2;3668,28;Technology
Park Ridge Embossed Executive Business Envelopes;03/01/2012;49;741,57;Office Supplies
Multimedia Mailers;03/01/2012;22;3353,54;Office Supplies
Newell 310;03/01/2012;6;10,39;Office Supplies
Lexmark Z54se Color Inkjet Printer;03/01/2012;26;2354,15;Technology
Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;03/01/2012;26;69,38;Office Supplies
Hon GuestStacker Chair;03/01/2012;25;5859,25;Furniture
Lumber Crayons;04/01/2012;48;452,28;Office Supplies
Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units;04/01/2012;47;12723,95;Office Supplies
Electrix Fluorescent Magnifier Lamps & Weighted Base;04/01/2012;15;742,8;Furniture
Luxo Adjustable Task Clamp Lamp;04/01/2012;38;3531,75;Furniture
Prang Colored Pencils;04/01/2012;18;55,82;Office Supplies
Lexmark Z55se Color Inkjet Printer;04/01/2012;5;500,5;Technology
Eldon Advantage® Foldable Chair Mats for Low Pile Carpets;04/01/2012;3;172,04;Furniture
Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate;04/01/2012;3;113,14;Office Supplies
Recycled Steel Personal File for Standard File Folders;04/01/2012;32;1724,82;Office Supplies
Hewlett-Packard 2600DN Business Color Inkjet Printer;05/01/2012;50;4962,05;Technology
Motorola SB4200 Cable Modem;05/01/2012;13;2323,36;Technology
Newell 309;05/01/2012;7;79,81;Office Supplies
Fellowes Black Plastic Comb Bindings;05/01/2012;28;169,22;Office Supplies
I888 World Phone;05/01/2012;10;1319,42;Technology
Portfile® Personal File Boxes;05/01/2012;33;550,93;Office Supplies
Avery 493;05/01/2012;17;89,25;Office Supplies
Fellowes Twister Kit, Gray/Clear, 3/pkg;05/01/2012;4;41,94;Office Supplies
Aluminum Document Frame;05/01/2012;10;120,53;Furniture
Xerox 1888;05/01/2012;32;1666,0;Office Supplies
Carina Double Wide Media Storage Towers in Natural & Black;05/01/2012;28;2160,27;Office Supplies
Xerox 188;05/01/2012;40;453,98;Office Supplies
Acme® Box Cutter Scissors;05/01/2012;19;192,39;Office Supplies
Wirebound Voice Message Log Book;05/01/2012;33;154,44;Office Supplies
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags;06/01/2012;10;86,0;Office Supplies
Hoover WindTunnel Plus Canister Vacuum;06/01/2012;13;4805,36;Office Supplies
Bretford CR4500 Series Slim Rectangular Table;06/01/2012;42;14729,36;Furniture
Xerox 197;06/01/2012;46;1483,49;Office Supplies
Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags;07/01/2012;24;114,17;Office Supplies
Cardinal Holdit Business Card Pockets;07/01/2012;39;197,11;Office Supplies
Boston 16765 Mini Stand Up Battery Pencil Sharpener;07/01/2012;7;91,43;Office Supplies
Hoover Portapower Portable Vacuum;08/01/2012;30;182,92;Office Supplies
Avery 510;08/01/2012;42;162,57;Office Supplies
Unpadded Memo Slips;08/01/2012;11;48,91;Office Supplies
Staples 6 Outlet Surge;08/01/2012;5;78,39;Office Supplies
GBC Standard Plastic Binding Systems Combs;08/01/2012;23;202,84;Office Supplies
Bretford Rectangular Conference Table Tops;08/01/2012;4;1187,86;Furniture
Fellowes Basic 104-Key Keyboard, Platinum;08/01/2012;15;310,87;Technology
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue";08/01/2012;41;198,29;Office Supplies
Angle-D Binders with Locking Rings, Label Holders;08/01/2012;36;251,34;Office Supplies
Tensor Computer Mounted Lamp;08/01/2012;15;243,52;Furniture
Global Adaptabilities Conference Tables;08/01/2012;14;3849,8;Furniture
Rogers® Profile Extra Capacity Storage Tub;09/01/2012;5;88,94;Office Supplies
Staples Metal Binder Clips;09/01/2012;48;113,98;Office Supplies
Bell Sonecor JB700 Caller ID;09/01/2012;39;278,9;Technology
5170i;09/01/2012;11;1247,86;Technology
"Iceberg OfficeWorks 42"" Round Tables";10/01/2012;44;6815,23;Furniture
